transaction_id,customer_id,segment,amount,payment_method,failure_reason,failed_at,hour,day_of_week,is_subscription,time_since_failure_hr,customer_total_transactions,customer_successful_transactions,customer_failed_transactions,customer_success_rate,customer_lifetime_value,customer_preferred_method,method_matches_preference,prior_recovery_attempts,prior_recovery_successes,customer_opted_out,recovered
T900076,C100227,new,199.0,wallet,otp_failure,2026-08-16 09:41:16.425831,19,2,0,2.31,57,30,27,0.526,2917.62,upi,0,18,10,0,1
T900077,C103159,new,229.0,card,insufficient_funds,2026-08-19 07:00:34.859108,20,1,0,4.99,65,30,35,0.462,1602.12,upi,0,18,8,1,0
T900078,C103714,casual,149.0,card,bank_timeout,2026-08-18 04:16:04.745360,0,2,0,7.73,23,15,8,0.652,2147.88,upi,0,3,2,0,0
T900079,C105244,casual,759.0,card,card_declined,2026-08-13 11:31:49.691414,23,2,0,0.47,52,27,25,0.519,12724.69,card,1,19,11,0,0
T900080,C104614,new,100.0,netbanking,otp_failure,2026-08-14 06:19:51.426799,13,0,0,5.67,50,20,30,0.4,1509.07,card,0,13,4,0,0
T900081,C106000,loyal,1910.0,netbanking,bank_timeout,2026-08-18 11:11:04.568700,1,2,0,0.82,55,45,10,0.818,26808.66,netbanking,1,4,3,0,0
T900082,C104280,casual,199.0,upi,otp_failure,2026-08-12 19:36:17.851285,4,1,0,16.4,33,25,8,0.758,4355.98,upi,1,8,7,0,0
T900083,C105020,casual,439.0,netbanking,bank_timeout,2026-08-16 11:51:30.096385,2,5,0,0.14,60,48,12,0.8,11393.53,upi,0,8,5,0,0
T900084,C100029,high_value,21859.0,upi,otp_failure,2026-08-21 05:27:05.870041,7,4,1,6.55,28,24,4,0.857,218070.0,upi,1,2,1,0,0
T900085,C105063,loyal,650.0,netbanking,insufficient_funds,2026-08-15 09:32:08.143214,18,1,0,2.46,82,65,17,0.793,18839.35,upi,0,10,8,1,0
T900086,C103974,loyal,1449.0,upi,network_error,2026-08-15 10:57:38.613635,11,5,1,1.04,10,8,2,0.8,37880.12,netbanking,0,0,0,0,1
T900087,C103186,casual,100.0,upi,otp_failure,2026-08-21 07:45:59.284003,17,5,0,4.23,25,18,7,0.72,2858.7,upi,1,3,2,0,0
T900088,C105565,casual,309.0,upi,insufficient_funds,2026-08-13 11:32:11.275184,17,1,0,0.46,30,17,13,0.567,6563.71,card,0,9,4,0,0
T900089,C100011,new,199.0,upi,insufficient_funds,2026-08-19 10:52:26.384797,2,0,0,1.13,79,37,42,0.468,201.57,upi,1,17,12,0,0
T900090,C106136,loyal,1049.0,netbanking,bank_timeout,2026-08-13 11:51:59.964632,5,3,0,0.13,8,6,2,0.75,16103.98,upi,0,0,0,0,0
T900091,C107121,casual,370.0,upi,network_error,2026-08-18 07:54:45.068224,21,5,0,4.09,106,81,25,0.764,10603.18,card,0,14,8,0,0
T900092,C100867,new,149.0,card,network_error,2026-08-18 07:49:57.609488,21,2,0,4.17,26,14,12,0.538,391.46,upi,0,11,5,0,0
T900093,C102731,casual,110.0,upi,insufficient_funds,2026-08-18 09:14:53.634984,4,5,1,2.75,42,34,8,0.81,1790.68,upi,1,4,3,0,0
T900094,C106970,casual,229.0,card,insufficient_funds,2026-08-12 09:36:18.031281,7,1,0,2.39,9,7,2,0.778,2572.39,wallet,0,1,0,0,0
T900095,C100471,casual,170.0,upi,bank_timeout,2026-08-12 07:38:17.440307,23,1,0,4.36,26,17,9,0.654,5572.87,upi,1,8,5,0,0
T900096,C101773,casual,239.0,upi,otp_failure,2026-08-20 07:52:44.113180,8,0,0,4.12,27,17,10,0.63,5455.95,card,0,7,4,1,0
T900097,C106431,loyal,3559.0,upi,insufficient_funds,2026-08-18 08:02:36.167201,12,1,0,3.96,42,36,6,0.857,56132.12,netbanking,0,4,3,0,0
T900098,C102749,loyal,1560.0,upi,bank_timeout,2026-08-16 02:45:59.321488,20,3,0,9.23,31,23,8,0.742,25011.98,upi,1,2,1,0,1
T900099,C102615,new,100.0,upi,network_error,2026-08-13 07:46:02.136245,6,4,1,4.23,66,36,30,0.545,269.39,upi,1,22,10,0,0
T900100,C103056,loyal,1279.0,card,otp_failure,2026-08-13 10:28:29.464311,15,4,0,1.53,90,79,11,0.878,22226.85,card,1,12,8,1,0
T900101,C107724,new,100.0,card,insufficient_funds,2026-08-13 11:33:27.481611,5,0,1,0.44,99,53,46,0.535,1411.74,netbanking,0,21,10,0,0
T900102,C100439,casual,110.0,netbanking,gateway_error,2026-08-18 06:12:15.803090,10,4,0,29.8,16,11,5,0.688,1933.44,upi,0,5,2,0,0
T900103,C102823,new,130.0,card,bank_timeout,2026-08-19 09:02:05.993128,19,2,0,2.97,87,50,37,0.575,1972.17,netbanking,0,18,12,0,0
T900104,C102790,casual,1169.0,card,insufficient_funds,2026-08-13 10:13:03.215624,11,2,0,1.78,40,31,9,0.775,9611.36,upi,0,3,2,0,1
T900105,C107825,casual,379.0,upi,network_error,2026-08-13 21:54:46.605021,5,6,0,14.09,70,55,15,0.786,5082.32,upi,1,19,18,0,1
T900106,C102229,casual,379.0,netbanking,otp_failure,2026-08-12 06:22:33.231868,15,6,1,5.62,126,64,62,0.508,9907.57,upi,0,25,12,0,0
T900107,C107547,casual,100.0,upi,network_error,2026-08-17 00:57:42.506276,11,3,0,11.04,105,71,34,0.676,1625.85,card,0,11,6,0,1
T900108,C103109,new,100.0,upi,insufficient_funds,2026-08-21 11:58:56.935730,4,1,0,0.02,7,3,4,0.429,1290.51,card,0,3,1,0,0
T900109,C103520,new,100.0,upi,bank_timeout,2026-08-20 21:29:57.661915,14,0,0,14.5,37,16,21,0.432,2987.83,upi,1,20,9,0,0
T900110,C105398,loyal,1260.0,card,otp_failure,2026-08-20 04:49:49.719550,10,3,0,7.17,105,74,31,0.705,34012.51,upi,0,19,14,0,0
T900111,C103720,new,100.0,card,insufficient_funds,2026-08-18 18:44:19.088839,17,5,0,17.26,82,43,39,0.524,2200.65,upi,0,27,11,1,0
T900112,C101699,new,149.0,netbanking,bank_timeout,2026-08-15 08:40:22.072777,4,5,1,3.33,43,24,19,0.558,788.34,upi,0,12,6,0,0
T900113,C106726,loyal,799.0,card,insufficient_funds,2026-08-17 07:28:37.288224,18,0,0,4.52,129,108,21,0.837,24395.02,upi,0,8,6,0,1
T900114,C102193,casual,300.0,upi,gateway_error,2026-08-14 23:19:11.964284,0,6,1,12.68,32,21,11,0.656,7497.86,netbanking,0,7,5,0,1
T900115,C106865,casual,480.0,upi,otp_failure,2026-08-13 09:07:28.440613,13,3,0,2.88,31,19,12,0.613,3815.4,upi,1,6,4,0,1
T900116,C107733,new,199.0,upi,network_error,2026-08-20 10:49:19.693132,1,6,0,1.18,31,15,16,0.484,22.91,netbanking,0,9,3,0,1
T900117,C104192,new,149.0,card,card_declined,2026-08-12 15:22:12.719778,15,0,0,20.63,55,33,22,0.6,1716.36,upi,0,9,5,0,0
T900118,C101347,loyal,1130.0,card,otp_failure,2026-08-12 19:57:25.801325,14,0,0,16.04,31,30,1,0.968,13554.14,upi,0,1,0,0,1
T900119,C101249,loyal,2169.0,card,bank_timeout,2026-08-19 11:33:57.915554,19,1,1,0.43,31,29,2,0.935,35255.77,upi,0,0,0,0,1
T900120,C106821,new,199.0,netbanking,insufficient_funds,2026-08-13 03:03:44.700426,18,1,0,8.94,21,12,9,0.571,453.83,card,0,3,1,0,0
T900121,C102204,new,199.0,upi,network_error,2026-08-17 11:14:31.642718,22,2,0,0.76,15,9,6,0.6,1952.15,upi,1,5,2,0,0
T900122,C103838,loyal,1149.0,upi,gateway_error,2026-08-20 11:27:31.656186,10,6,0,0.54,172,129,43,0.75,40941.74,upi,1,14,7,0,0
T900123,C106263,new,160.0,upi,bank_timeout,2026-08-17 04:35:38.613110,3,5,1,7.41,135,74,61,0.548,2924.28,upi,1,18,9,0,0
T900124,C100421,new,120.0,card,payment_link_expired,2026-08-19 07:25:50.653861,21,5,0,4.57,26,18,8,0.692,2390.59,wallet,0,8,5,0,0
T900125,C103355,casual,149.0,upi,bank_timeout,2026-08-21 07:49:10.217203,10,0,0,4.18,30,22,8,0.733,1322.78,netbanking,0,2,1,0,1
T900126,C105340,new,199.0,upi,bank_timeout,2026-08-12 07:35:28.141673,6,2,0,4.41,38,18,20,0.474,2200.47,upi,1,16,7,0,0
T900127,C104575,casual,710.0,upi,insufficient_funds,2026-08-15 08:17:03.824035,9,0,1,3.72,98,60,38,0.612,12741.13,card,0,16,6,0,0
T900128,C103134,casual,199.0,netbanking,network_error,2026-08-14 03:07:23.541347,3,5,0,8.88,91,66,25,0.725,1079.58,upi,0,16,10,0,0
T900129,C102719,casual,229.0,netbanking,bank_timeout,2026-08-18 09:32:16.354600,8,1,0,2.46,21,13,8,0.619,4556.72,upi,0,6,4,0,0
T900130,C100614,casual,100.0,upi,insufficient_funds,2026-08-15 09:28:21.372680,18,6,0,2.53,123,89,34,0.724,3014.78,upi,1,23,18,1,0
T900131,C104818,loyal,1519.0,card,card_declined,2026-08-14 09:17:23.300761,5,6,0,2.71,48,41,7,0.854,24923.69,netbanking,0,1,0,0,0
T900132,C100440,new,100.0,upi,gateway_error,2026-08-17 10:46:07.315037,3,4,0,1.23,62,42,20,0.677,855.08,upi,1,12,8,0,1
T900133,C104080,new,199.0,card,bank_timeout,2026-08-15 04:20:32.367208,17,3,0,7.66,116,57,59,0.491,660.41,upi,0,33,11,0,0
T900134,C101041,new,100.0,card,card_declined,2026-08-12 09:20:18.724972,10,3,0,2.66,51,29,22,0.569,359.97,upi,0,14,5,0,0
T900135,C100301,loyal,1189.0,card,bank_timeout,2026-08-17 02:26:05.330077,4,6,1,9.57,148,126,22,0.851,42424.21,card,1,13,11,0,0
T900136,C103778,new,120.0,upi,network_error,2026-08-15 03:33:45.229831,2,5,0,8.44,32,12,20,0.375,959.51,card,0,11,3,0,0
T900137,C102372,high_value,5440.0,upi,otp_failure,2026-08-18 02:54:28.446276,20,4,0,9.09,2,1,1,0.5,195687.85,card,0,0,0,0,0
T900138,C103788,casual,1339.0,card,card_declined,2026-08-16 10:00:59.975797,23,3,1,1.98,87,60,27,0.69,13607.76,upi,0,17,10,0,0
T900139,C101261,casual,420.0,card,payment_link_expired,2026-08-13 10:17:05.415095,4,2,0,1.72,64,47,17,0.734,11447.73,upi,0,8,7,0,1
T900140,C107722,casual,149.0,card,insufficient_funds,2026-08-19 06:25:35.502519,18,1,0,5.57,66,49,17,0.742,1418.76,card,1,14,10,0,0
T900141,C100094,new,100.0,upi,gateway_error,2026-08-19 11:28:06.522652,7,1,0,0.53,35,19,16,0.543,1773.34,upi,1,15,7,0,0
T900142,C101052,casual,839.0,upi,otp_failure,2026-08-15 10:59:48.580469,10,5,0,1.0,75,57,18,0.76,14773.59,upi,1,7,5,0,1
T900143,C105667,high_value,2649.0,upi,network_error,2026-08-12 08:27:54.551416,0,3,0,3.53,74,55,19,0.743,84226.91,card,0,12,9,0,1
T900144,C107436,casual,200.0,upi,insufficient_funds,2026-08-13 06:32:20.441500,16,6,0,5.46,121,76,45,0.628,6906.64,upi,1,24,11,0,0
T900145,C100346,loyal,5290.0,upi,network_error,2026-08-15 11:09:21.038645,9,6,1,0.84,81,73,8,0.901,52944.06,wallet,0,2,1,0,1
T900146,C100165,new,320.0,upi,insufficient_funds,2026-08-13 03:18:05.554534,7,5,1,8.7,56,30,26,0.536,2551.36,netbanking,0,16,7,1,0
T900147,C104430,new,149.0,upi,network_error,2026-08-16 11:20:13.157093,14,5,0,0.66,69,44,25,0.638,412.74,upi,1,9,6,0,0
T900148,C103397,casual,350.0,upi,network_error,2026-08-14 07:13:15.677884,21,5,0,4.78,78,65,13,0.833,12607.7,netbanking,0,6,5,0,1
T900149,C101597,casual,1320.0,upi,bank_timeout,2026-08-16 20:39:34.641195,23,1,0,15.34,36,26,10,0.722,10589.45,upi,1,5,3,0,0
T900150,C101024,loyal,1779.0,card,otp_failure,2026-08-14 06:07:11.220416,9,1,0,5.88,43,36,7,0.837,50339.02,netbanking,0,4,2,0,0
T900151,C106833,loyal,5690.0,upi,bank_timeout,2026-08-19 06:28:07.397435,12,2,0,5.53,37,32,5,0.865,51242.3,card,0,6,5,0,0
T900152,C100965,new,100.0,netbanking,bank_timeout,2026-08-20 10:11:21.914604,9,4,0,1.81,75,35,40,0.467,2370.06,card,0,20,10,0,0
T900153,C105551,new,100.0,netbanking,otp_failure,2026-08-20 00:46:12.840026,3,6,0,11.23,45,25,20,0.556,1195.92,card,0,13,8,0,0
T900154,C106628,loyal,3789.0,card,insufficient_funds,2026-08-21 11:45:13.922018,11,6,0,0.25,32,28,4,0.875,48683.7,upi,0,3,2,0,0
T900155,C100165,new,100.0,upi,otp_failure,2026-08-15 04:55:40.310151,4,4,1,7.07,56,30,26,0.536,2551.36,netbanking,0,16,7,1,0
T900156,C105918,new,190.0,upi,gateway_error,2026-08-15 09:39:17.557873,11,3,0,2.35,29,9,20,0.31,2063.26,upi,1,16,5,0,1
T900157,C105448,new,149.0,upi,network_error,2026-08-18 22:27:03.997335,9,1,0,13.55,64,34,30,0.531,10.71,card,0,23,12,0,0
T900158,C104282,casual,289.0,upi,bank_timeout,2026-08-16 07:27:26.808664,3,2,0,4.54,30,24,6,0.8,4656.32,card,0,2,1,0,0
T900159,C100614,casual,180.0,upi,network_error,2026-08-18 01:10:54.054645,16,3,0,10.82,123,89,34,0.724,3014.78,upi,1,23,18,1,0
T900160,C107273,new,199.0,upi,bank_timeout,2026-08-16 07:35:50.992556,15,3,1,4.4,32,16,16,0.5,1880.14,upi,1,18,6,0,1
T900161,C107276,new,100.0,upi,network_error,2026-08-17 02:18:59.185942,17,6,0,9.68,47,22,25,0.468,2053.18,card,0,14,6,0,0
T900162,C102630,loyal,4129.0,upi,otp_failure,2026-08-14 23:28:37.046334,7,6,0,12.52,168,140,28,0.833,48360.3,netbanking,0,17,13,0,0
T900163,C102598,new,199.0,upi,otp_failure,2026-08-19 22:11:17.101395,5,5,0,13.81,54,29,25,0.537,891.35,card,0,15,7,0,1
T900164,C104322,new,209.0,upi,gateway_error,2026-08-18 05:44:57.013025,22,3,1,6.25,24,15,9,0.625,904.39,upi,1,4,2,0,1
T900165,C107036,casual,150.0,upi,bank_timeout,2026-08-12 01:57:57.879209,7,3,1,10.03,4,2,2,0.5,2438.91,netbanking,0,0,0,0,0
T900166,C107447,casual,199.0,upi,gateway_error,2026-08-15 07:03:54.158154,22,0,0,4.93,16,11,5,0.688,1590.71,card,0,4,2,0,0
T900167,C101961,new,199.0,card,card_declined,2026-08-16 07:06:27.867824,14,5,0,4.89,88,46,42,0.523,1360.0,card,1,18,10,0,0
T900168,C104413,casual,340.0,upi,bank_timeout,2026-08-14 10:43:50.222602,8,4,0,1.27,28,18,10,0.643,11249.35,upi,1,9,6,0,0
T900169,C102806,casual,309.0,card,network_error,2026-08-15 11:12:15.585470,20,1,1,0.8,37,28,9,0.757,9659.17,card,1,4,3,0,0
T900170,C101705,casual,299.0,upi,otp_failure,2026-08-16 11:06:44.634165,19,2,0,0.89,96,63,33,0.656,9561.6,upi,1,16,10,0,1
T900171,C100015,casual,489.0,upi,otp_failure,2026-08-12 11:34:18.958852,15,6,0,0.43,26,18,8,0.692,14005.47,upi,1,5,3,0,1
T900172,C102269,new,199.0,upi,network_error,2026-08-19 10:34:41.410713,17,1,0,1.42,125,57,68,0.456,2428.96,upi,1,19,7,0,1
T900173,C102541,new,199.0,upi,gateway_error,2026-08-20 09:18:25.317477,4,0,0,2.69,72,34,38,0.472,1795.66,upi,1,11,7,0,1
T900174,C105212,new,130.0,upi,network_error,2026-08-13 11:37:16.864768,2,3,0,0.38,17,9,8,0.529,2636.35,upi,1,3,1,0,1
