customer_id,segment,tenure_days,total_transactions,successful_transactions,failed_transactions,success_rate,lifetime_value,preferred_method,prior_recovery_attempts,prior_recovery_successes,opted_out
C100135,new,274,9,5,4,0.556,2681.37,netbanking,1,0,0
C100136,casual,542,90,68,22,0.756,9090.15,card,11,8,0
C100137,loyal,28,4,3,1,0.75,46751.78,card,0,0,0
C100138,loyal,313,11,10,1,0.909,59980.07,netbanking,0,0,0
C100139,loyal,393,18,14,4,0.778,30509.63,upi,0,0,0
C100140,casual,884,32,19,13,0.594,8313.96,card,11,5,0
C100141,casual,193,8,6,2,0.75,10116.1,upi,2,1,0
C100142,new,249,11,4,7,0.364,2761.67,card,7,3,0
C100143,casual,368,46,34,12,0.739,12158.23,upi,10,7,0
C100144,casual,893,52,33,19,0.635,1901.9,upi,11,5,0
C100145,casual,768,54,43,11,0.796,10981.3,wallet,3,2,0
C100146,new,32,1,0,1,0.0,755.81,upi,1,0,0
C100147,loyal,211,35,31,4,0.886,22745.08,upi,0,0,0
C100148,casual,739,147,120,27,0.816,8661.34,upi,17,13,0
C100149,casual,53,2,1,1,0.5,10748.21,card,0,0,0
C100150,new,770,26,18,8,0.692,477.68,upi,0,0,0
C100151,casual,253,8,6,2,0.75,5403.16,upi,1,0,0
C100152,casual,825,43,27,16,0.628,11025.69,wallet,10,8,0
C100153,casual,264,17,12,5,0.706,3128.03,upi,5,2,0
C100154,casual,391,35,24,11,0.686,12895.92,upi,3,1,0
C100155,new,596,20,10,10,0.5,1368.13,card,9,5,0
C100156,high_value,114,12,9,3,0.75,255096.59,upi,1,0,0
C100157,new,501,62,36,26,0.581,241.2,upi,16,10,0
C100158,casual,455,26,15,11,0.577,14363.02,card,7,4,0
C100159,new,705,50,17,33,0.34,2722.6,card,25,6,0
C100160,casual,896,52,36,16,0.692,3661.1,upi,9,6,0
C100161,casual,598,22,14,8,0.636,10283.43,card,9,5,0
C100162,loyal,368,33,26,7,0.788,49655.86,netbanking,2,1,0
C100163,casual,366,14,6,8,0.429,2707.54,card,2,0,0
C100164,loyal,376,37,29,8,0.784,38872.68,card,2,1,0
C100165,new,732,56,30,26,0.536,2551.36,netbanking,16,7,1
C100166,new,289,57,28,29,0.491,1520.14,upi,25,13,0
C100167,casual,151,7,5,2,0.714,13932.99,upi,2,1,0
C100168,casual,301,11,9,2,0.818,1669.23,upi,0,0,0
C100169,casual,21,1,0,1,0.0,13868.95,upi,1,0,0
C100170,high_value,96,10,9,1,0.9,392026.32,wallet,0,0,0
C100171,loyal,81,3,2,1,0.667,17797.11,upi,0,0,0
C100172,high_value,694,86,72,14,0.837,200832.57,upi,8,5,0
C100173,casual,650,32,24,8,0.75,9690.71,upi,5,3,0
C100174,loyal,627,28,26,2,0.929,54661.91,card,5,4,0
C100175,casual,416,52,35,17,0.673,3233.37,netbanking,11,7,0
C100176,loyal,645,92,73,19,0.793,26701.4,upi,10,8,0
C100177,high_value,145,24,23,1,0.958,329275.43,netbanking,1,0,0
C100178,loyal,810,36,26,10,0.722,30500.23,upi,9,6,0
C100179,high_value,451,22,18,4,0.818,261730.22,netbanking,1,0,0
C100180,loyal,844,120,96,24,0.8,38000.28,netbanking,18,14,0
C100181,new,137,8,4,4,0.5,2919.52,upi,1,0,0
C100182,loyal,448,18,15,3,0.833,17076.56,netbanking,4,3,0
C100183,casual,626,62,49,13,0.79,14278.17,upi,6,5,0
C100184,high_value,446,22,18,4,0.818,247452.75,upi,3,2,0
C100185,loyal,402,33,25,8,0.758,55207.61,upi,7,5,0
C100186,new,150,13,7,6,0.538,353.83,upi,8,4,0
C100187,new,343,24,11,13,0.458,1924.51,wallet,8,5,0
C100188,new,215,16,8,8,0.5,2520.33,card,1,0,0
C100189,casual,272,16,9,7,0.562,12016.34,card,3,1,0
C100190,new,615,61,34,27,0.557,29.81,wallet,11,6,0
C100191,loyal,567,40,39,1,0.975,32610.27,upi,1,0,0
C100192,casual,546,27,17,10,0.63,2614.85,upi,5,2,0
C100193,loyal,326,23,21,2,0.913,17641.26,netbanking,1,0,0
C100194,casual,863,41,29,12,0.707,10888.03,upi,10,4,0
C100195,casual,79,11,6,5,0.545,14392.11,netbanking,3,1,0
C100196,new,308,38,18,20,0.474,1902.29,upi,7,3,0
C100197,high_value,107,4,3,1,0.75,85831.97,upi,2,1,0
C100198,new,305,19,9,10,0.474,731.99,upi,4,1,0
C100199,new,865,43,25,18,0.581,1136.62,upi,14,6,0
C100200,new,330,14,9,5,0.643,376.07,upi,3,2,0
C100201,loyal,817,102,76,26,0.745,52398.41,upi,22,17,0
C100202,new,446,15,7,8,0.467,583.52,upi,5,2,0
C100203,loyal,630,42,33,9,0.786,16477.55,card,3,2,0
C100204,loyal,412,15,11,4,0.733,46284.23,upi,3,2,0
C100205,loyal,240,16,13,3,0.812,16341.62,upi,3,2,0
C100206,new,688,45,24,21,0.533,1230.96,upi,10,6,0
C100207,new,872,43,17,26,0.395,1546.52,upi,14,6,0
C100208,casual,237,26,18,8,0.692,2123.21,upi,2,1,0
C100209,new,701,35,15,20,0.429,1667.36,upi,7,3,0
C100210,loyal,235,8,6,2,0.75,34008.2,upi,1,0,0
C100211,casual,645,30,24,6,0.8,10357.83,wallet,6,5,0
C100212,casual,710,118,89,29,0.754,4068.04,upi,17,13,0
C100213,new,404,18,10,8,0.556,1069.89,upi,2,1,0
C100214,casual,663,132,89,43,0.674,10235.17,card,22,16,0
C100215,new,245,35,19,16,0.543,106.79,upi,10,3,0
C100216,loyal,72,6,5,1,0.833,15789.75,upi,0,0,0
C100217,new,87,7,4,3,0.571,850.66,upi,2,1,1
C100218,high_value,402,80,73,7,0.912,87224.73,card,5,4,0
C100219,loyal,812,162,142,20,0.877,11975.62,netbanking,6,5,0
C100220,new,115,4,1,3,0.25,2962.15,upi,1,0,1
C100221,new,410,25,12,13,0.48,1367.28,netbanking,9,6,0
C100222,casual,633,70,54,16,0.771,8471.58,card,11,8,0
C100223,new,182,12,7,5,0.583,764.71,card,2,0,0
C100224,new,649,29,16,13,0.552,23.06,upi,6,3,0
C100225,loyal,276,12,11,1,0.917,47536.21,netbanking,0,0,0
C100226,loyal,727,60,54,6,0.9,46187.65,upi,3,2,1
C100227,new,521,57,30,27,0.526,2917.62,upi,18,10,0
C100228,casual,492,17,10,7,0.588,1295.43,card,6,3,0
C100229,casual,159,7,5,2,0.714,2918.29,wallet,0,0,0
C100230,high_value,417,14,13,1,0.929,299249.37,upi,0,0,1
C100231,new,771,64,44,20,0.688,990.22,upi,11,6,0
C100232,loyal,18,2,1,1,0.5,13188.66,wallet,0,0,0
C100233,loyal,682,48,36,12,0.75,25047.91,netbanking,2,1,0
C100234,new,443,34,15,19,0.441,263.15,card,11,8,0
C100235,new,647,29,9,20,0.31,2512.82,upi,10,3,0
C100236,casual,597,27,21,6,0.778,13277.06,upi,2,1,0
C100237,loyal,389,64,58,6,0.906,41844.5,wallet,2,1,0
C100238,casual,278,14,10,4,0.714,6398.36,upi,1,0,0
C100239,loyal,564,43,32,11,0.744,48439.46,card,6,5,0
C100240,loyal,127,6,5,1,0.833,41579.51,card,0,0,0
C100241,loyal,526,37,32,5,0.865,49599.1,wallet,1,0,0
C100242,casual,86,4,3,1,0.75,8152.7,card,2,1,0
C100243,casual,585,26,19,7,0.731,14416.83,upi,4,3,0
C100244,loyal,566,47,42,5,0.894,24501.68,card,4,3,0
C100245,casual,76,8,5,3,0.625,9458.59,wallet,0,0,0
C100246,loyal,681,30,28,2,0.933,50402.63,netbanking,2,1,1
C100247,new,374,13,7,6,0.538,2681.62,upi,1,0,0
C100248,new,708,44,20,24,0.455,2840.24,upi,15,10,0
C100249,loyal,38,1,0,1,0.0,29750.55,card,2,1,0
C100250,casual,162,18,14,4,0.778,10790.8,card,1,0,0
C100251,new,445,17,9,8,0.529,870.59,upi,4,2,0
C100252,new,170,5,2,3,0.4,1948.14,upi,1,0,0
C100253,casual,297,24,20,4,0.833,3579.17,upi,1,0,1
C100254,loyal,594,74,53,21,0.716,31072.56,upi,17,12,0
C100255,new,130,6,3,3,0.5,2760.71,upi,4,2,0
C100256,new,610,23,11,12,0.478,2432.72,wallet,9,5,0
C100257,casual,93,13,10,3,0.769,7951.09,card,0,0,0
C100258,high_value,158,7,6,1,0.857,101395.86,upi,0,0,0
C100259,casual,529,20,12,8,0.6,6580.0,card,1,0,0
C100260,high_value,714,142,126,16,0.887,98537.64,upi,14,12,0
C100261,high_value,154,9,8,1,0.889,73984.67,card,0,0,0
C100262,casual,270,45,31,14,0.689,13691.16,netbanking,8,6,0
C100263,loyal,832,92,74,18,0.804,34571.57,upi,14,10,0
C100264,loyal,890,52,42,10,0.808,14469.44,wallet,7,5,0
C100265,casual,523,40,30,10,0.75,11033.36,upi,6,5,0
C100266,casual,402,57,49,8,0.86,2038.54,card,6,4,0
C100267,loyal,312,12,8,4,0.667,29808.27,netbanking,4,2,1
C100268,loyal,551,55,54,1,0.982,21514.53,card,0,0,0
C100269,loyal,532,20,17,3,0.85,18231.51,upi,1,0,0
C100270,high_value,265,29,28,1,0.966,236742.22,upi,1,0,0
C100271,casual,21,1,0,1,0.0,11075.65,upi,0,0,0
C100272,loyal,137,5,4,1,0.8,34359.49,upi,0,0,0
C100273,loyal,862,50,43,7,0.86,51040.12,upi,4,3,0
C100274,new,376,25,11,14,0.44,2752.16,upi,8,2,0
C100275,new,434,18,8,10,0.444,2421.54,card,4,2,0
C100276,casual,420,84,68,16,0.81,14390.88,upi,11,8,0
C100277,loyal,704,28,20,8,0.714,56451.8,upi,7,5,0
C100278,casual,59,2,1,1,0.5,12655.24,card,1,0,0
C100279,loyal,75,3,2,1,0.667,24631.63,upi,4,3,0
C100280,new,248,16,7,9,0.438,523.0,card,3,1,0
C100281,casual,438,31,27,4,0.871,11178.16,card,0,0,0
C100282,loyal,604,31,24,7,0.774,52276.45,card,4,3,0
C100283,new,442,21,9,12,0.429,2469.37,upi,9,4,0
C100284,high_value,397,14,12,2,0.857,275267.85,card,1,0,0
C100285,new,844,32,15,17,0.469,2489.6,card,15,5,1
C100286,high_value,145,24,22,2,0.917,297508.17,upi,1,0,1
C100287,new,514,64,35,29,0.547,1996.1,netbanking,15,10,0
C100288,high_value,488,17,16,1,0.941,66301.77,netbanking,0,0,0
C100289,loyal,426,30,25,5,0.833,33023.73,upi,2,1,0
C100290,new,727,38,18,20,0.474,101.54,upi,15,10,0
C100291,new,241,40,24,16,0.6,277.11,netbanking,9,4,0
C100292,new,858,122,66,56,0.541,1623.01,card,24,13,0
C100293,casual,299,19,12,7,0.632,1664.71,card,8,6,0
C100294,loyal,490,22,21,1,0.955,55661.02,upi,1,0,0
C100295,casual,469,19,13,6,0.684,7304.77,upi,4,3,0
C100296,casual,764,28,22,6,0.786,10799.53,card,8,5,0
C100297,casual,395,43,35,8,0.814,3069.13,netbanking,8,6,0
C100298,casual,256,25,20,5,0.8,12866.33,upi,6,4,0
C100299,loyal,20,1,0,1,0.0,33903.35,wallet,0,0,0
C100300,casual,327,18,12,6,0.667,8822.86,card,3,2,0
C100301,loyal,743,148,126,22,0.851,42424.21,card,13,11,0
C100302,high_value,9,1,0,1,0.0,238964.39,netbanking,1,0,0
C100303,casual,806,29,15,14,0.517,8884.62,upi,6,3,0
C100304,new,489,54,32,22,0.593,2233.57,upi,13,6,0
C100305,new,127,5,2,3,0.4,2419.41,upi,2,0,0
C100306,casual,272,17,13,4,0.765,5286.32,upi,1,0,0
C100307,casual,499,27,19,8,0.704,13908.69,upi,4,2,0
C100308,high_value,284,13,12,1,0.923,173863.84,card,0,0,0
C100309,loyal,98,4,2,2,0.5,23616.28,netbanking,2,1,0
C100310,casual,599,29,18,11,0.621,5360.03,upi,10,4,0
C100311,loyal,605,86,56,30,0.651,27925.76,upi,9,5,0
C100312,casual,107,8,5,3,0.625,5437.03,card,3,2,0
C100313,loyal,253,9,7,2,0.778,52187.51,card,1,0,0
C100314,new,220,36,17,19,0.472,1683.46,wallet,10,3,0
C100315,loyal,593,26,23,3,0.885,58382.27,upi,0,0,0
C100316,high_value,657,36,32,4,0.889,79384.45,upi,3,2,0
C100317,loyal,654,93,69,24,0.742,40699.01,netbanking,8,5,0
C100318,loyal,844,105,103,2,0.981,14801.21,upi,3,2,0
C100319,casual,692,23,16,7,0.696,7423.9,card,3,1,0
C100320,loyal,289,57,44,13,0.772,29136.75,upi,6,4,0
C100321,casual,97,19,12,7,0.632,10530.85,upi,6,3,0
C100322,loyal,553,110,93,17,0.845,47272.24,card,4,3,0
C100323,new,824,41,21,20,0.512,714.28,card,10,5,1
C100324,new,877,31,20,11,0.645,581.14,upi,6,5,0
C100325,casual,207,23,16,7,0.696,6873.15,netbanking,7,4,0
C100326,new,213,8,5,3,0.625,725.96,netbanking,0,0,0
C100327,loyal,34,1,0,1,0.0,43831.2,card,1,0,0
C100328,loyal,127,12,10,2,0.833,35884.88,wallet,1,0,0
C100329,high_value,499,83,82,1,0.988,339441.96,netbanking,0,0,0
C100330,new,492,28,18,10,0.643,2943.82,card,5,3,0
C100331,high_value,334,47,46,1,0.979,182337.75,card,0,0,0
C100332,new,279,39,20,19,0.513,2735.99,netbanking,9,5,0
C100333,casual,746,46,33,13,0.717,11880.41,wallet,10,7,0
C100334,loyal,414,16,10,6,0.625,17456.17,card,3,2,0
C100335,new,727,25,13,12,0.52,2507.78,upi,3,1,0
C100336,new,866,43,27,16,0.628,1444.52,upi,8,5,0
C100337,new,286,26,16,10,0.615,2127.48,card,8,5,1
C100338,casual,183,14,9,5,0.643,10836.56,wallet,3,2,0
C100339,loyal,857,42,41,1,0.976,54298.28,upi,0,0,1
C100340,new,571,63,32,31,0.508,2283.49,wallet,19,10,0
C100341,new,262,15,7,8,0.467,2473.87,upi,6,3,0
C100342,casual,560,23,15,8,0.652,5492.77,upi,2,1,0
C100343,new,464,17,7,10,0.412,2919.41,netbanking,5,2,0
C100344,loyal,815,135,122,13,0.904,43079.61,wallet,9,7,0
C100345,high_value,231,19,18,1,0.947,320792.08,card,2,1,0
C100346,loyal,892,81,73,8,0.901,52944.06,wallet,2,1,0
C100347,loyal,842,46,38,8,0.826,16189.16,netbanking,7,6,0
C100348,casual,163,18,12,6,0.667,5709.75,netbanking,7,5,0
C100349,loyal,148,5,3,2,0.6,51796.8,netbanking,3,1,0
C100350,new,480,17,9,8,0.529,2765.95,upi,5,3,0
C100351,new,41,3,1,2,0.333,2268.28,upi,1,0,1
C100352,loyal,269,17,13,4,0.765,34115.45,upi,1,0,0
C100353,new,392,26,14,12,0.538,753.37,upi,13,5,0
C100354,high_value,872,145,131,14,0.903,233759.62,upi,6,4,1
C100355,loyal,893,33,32,1,0.97,29865.01,upi,1,0,0
C100356,high_value,137,5,4,1,0.8,359970.78,upi,1,0,0
C100357,casual,802,61,45,16,0.738,8941.71,card,9,6,0
C100358,casual,82,4,2,2,0.5,6488.93,upi,0,0,0
C100359,loyal,673,48,39,9,0.812,34924.0,upi,8,6,0
C100360,new,761,76,43,33,0.566,2800.7,upi,25,14,0
C100361,casual,801,66,46,20,0.697,9585.62,upi,13,6,0
C100362,loyal,201,28,24,4,0.857,21448.97,card,4,3,0
C100363,high_value,804,32,30,2,0.938,225027.15,netbanking,3,2,0
C100364,loyal,105,5,4,1,0.8,33282.91,card,2,1,0
C100365,new,467,16,9,7,0.562,931.21,card,6,3,0
C100366,casual,423,84,58,26,0.69,11308.19,wallet,18,12,0
C100367,casual,285,14,9,5,0.643,4756.02,card,3,2,0
C100368,new,20,1,0,1,0.0,1477.65,upi,0,0,1
C100369,casual,695,34,25,9,0.735,7174.65,upi,5,3,0
C100370,casual,302,10,7,3,0.7,7536.08,card,3,2,0
C100371,new,595,42,24,18,0.571,1700.33,card,10,5,0
C100372,casual,369,46,34,12,0.739,10566.16,netbanking,8,5,1
C100373,new,336,67,35,32,0.522,429.0,upi,24,19,0
C100374,casual,797,46,29,17,0.63,5036.55,wallet,11,6,0
C100375,new,85,9,3,6,0.333,2318.51,upi,3,1,0
C100376,loyal,663,82,59,23,0.72,55387.27,netbanking,11,6,0
C100377,new,672,84,58,26,0.69,133.97,card,15,8,0
C100378,high_value,342,31,23,8,0.742,75677.95,upi,4,2,0
C100379,new,236,33,21,12,0.636,2801.49,upi,6,3,0
C100380,casual,5,1,0,1,0.0,3071.17,upi,2,1,0
C100381,casual,843,40,32,8,0.8,14710.05,upi,5,4,0
C100382,new,853,71,26,45,0.366,2484.67,netbanking,19,6,1
C100383,casual,217,27,18,9,0.667,2689.86,upi,5,3,0
C100384,loyal,29,1,0,1,0.0,15126.25,upi,1,0,0
C100385,high_value,111,15,14,1,0.933,392053.93,upi,1,0,0
C100386,casual,61,2,1,1,0.5,4567.52,card,0,0,0
C100387,new,748,53,20,33,0.377,1616.0,upi,29,15,0
C100388,loyal,802,53,39,14,0.736,21811.79,upi,10,7,0
C100389,casual,138,12,9,3,0.75,9409.44,netbanking,3,2,0
C100390,new,672,56,29,27,0.518,2520.09,upi,17,8,0
C100391,loyal,162,20,17,3,0.85,42845.46,wallet,2,1,0
C100392,casual,331,18,13,5,0.722,1652.63,upi,2,1,0
C100393,loyal,539,67,50,17,0.746,39759.47,card,8,5,0
C100394,casual,648,29,21,8,0.724,10254.23,card,3,1,0
C100395,casual,787,71,48,23,0.676,3812.57,upi,16,11,0
C100396,new,41,2,1,1,0.5,2286.35,card,0,0,0
C100397,loyal,177,9,7,2,0.778,41344.67,upi,1,0,0
C100398,new,253,12,5,7,0.417,28.64,upi,6,2,0
C100399,loyal,279,12,9,3,0.75,57527.75,netbanking,3,2,0
C100400,loyal,898,47,42,5,0.894,32278.98,wallet,2,1,0
C100401,loyal,699,26,23,3,0.885,21618.95,upi,1,0,0
C100402,new,289,26,14,12,0.538,258.59,card,4,2,0
C100403,casual,874,38,30,8,0.789,6242.01,upi,9,8,0
C100404,casual,449,34,23,11,0.676,5308.77,upi,3,2,0
C100405,casual,451,22,15,7,0.682,5171.34,upi,9,6,0
C100406,high_value,390,22,19,3,0.864,327620.4,card,0,0,0
C100407,casual,130,4,3,1,0.75,10042.9,card,1,0,0
C100408,loyal,841,76,67,9,0.882,16652.65,upi,6,5,0
C100409,new,13,1,0,1,0.0,2124.22,wallet,1,0,0
C100410,casual,157,17,10,7,0.588,11128.75,card,9,4,0
C100411,new,207,10,6,4,0.6,1542.81,upi,1,0,0
C100412,loyal,252,50,40,10,0.8,59788.35,upi,2,1,0
C100413,new,119,7,3,4,0.429,850.44,card,6,3,0
C100414,casual,17,3,2,1,0.667,1818.38,upi,0,0,0
C100415,loyal,610,46,42,4,0.913,11440.31,upi,1,0,0
C100416,casual,872,51,43,8,0.843,5487.67,upi,6,5,0
